ccn,hospital_name,state,previous_status,disposition,issue,next_step,pointer_url,pointer_status,pointer_checked_at,pointer_declared_url,mrf_url,mrf_status,mrf_final_url,identity,identity_basis,header_name,header_location,header_state,date,version,metadata,file_checked_at,pointer_sha256,file_sha256,adjudicated,note
021314,SOUTHEAST ALASKA REGIONAL HEALTH CONSORTIUM,AK,metadata-or-pointer-review,publisher-issue,declared-update-date-over-365-days,"Publisher inquiry with the recorded file URL, declared date and response hash; recheck after their update window",,,,,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbSARHCSITKAAK&type=CDMWithoutLabel,200,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbSARHCSITKAAK&type=CDMWithoutLabel,corroborated,file-name-and-address,SouthEast Alaska Regional Health Consortium (SEARHC),SouthEast Alaska Regional Health Consortium (SEARHC),AK,2024-12-09,2.0.0,date-over-365-days,2026-09-09T10:06:57.001Z,,8e7b23d1eb3e811f4644bdda03f3d83788101ae514bcb27d589b6265601e303c,,Same declared date 2024-12-09 observed again after the earlier check (2026-09-09T02:25:42.245Z).
030061,BANNER BOSWELL MEDICAL CENTER,AZ,pointer-or-domain-review,unresolved,,"Compare the parsed header against facility aliases, renames and campus entries; extend the capped read only if metadata may sit beyond it",https://www.bannerhealth.com/cms-hpt.txt,206,2026-09-09T10:06:55.794Z,,https://images.pricetransparency.healthcare/public-mrfs/banner/900389314_banner-boswell-medical-center_standardcharges.csv,206,https://images.pricetransparency.healthcare/public-mrfs/banner/900389314_banner-boswell-medical-center_standardcharges.csv,mrf-header-name-without-location,,Banner Boswell Medical Center,Banner Boswell Medical Center,AZ,2026-03-02,3.0.0,date-within-365-days-version-3,2026-09-09T10:06:56.413Z,8c055297b0d82603af0d40cb85d5fce1c2c019f2c354e4f527d020dc932a231f,893311a0920f90e9d9e63103a86c5f49f094ee02d2ff6ae00d6215bafb0b524d,,
030062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,AZ,publisher-date-review,publisher-issue,declared-update-date-over-365-days,"Publisher inquiry with the recorded file URL, declared date and response hash; recheck after their update window",https://summithealthcare.net/cms-hpt.txt,200,2026-09-09T10:06:55.117Z,,https://hospitalpricedisclosure.com/download.aspx?pi=L*__*5isnkJWsT9OFJEKfZzfA*-*,206,https://cleverleypteusstatic.blob.core.windows.net/readable/860320447_summit-healthcare-regional-medical-center_standardcharges.json,corroborated,file-name-and-address,Summit Healthcare Regional Medical Center,Summit Healthcare Regional Medical Center,AZ,2025-01-01,2.2.0,date-over-365-days,2026-09-09T10:06:56.588Z,d0737c252cc0a30af3804fabd5de919182b28313d97fee11758ce518354e478c,f5b1c5ceedaf96829d1c248ab06a57cd6bed241a903c29759e17f5d807f584ea,,Same declared date 2025-01-01 observed again after the earlier check (2026-09-09T01:47:32.030Z).
030064,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,AZ,pointer-or-domain-review,unresolved,,"Compare the parsed header against facility aliases, renames and campus entries; extend the capped read only if metadata may sit beyond it",https://www.bannerhealth.com/cms-hpt.txt,206,2026-09-09T10:06:55.794Z,,https://images.pricetransparency.healthcare/public-mrfs/banner/901074557_banner-university-medical-center-tucson_standardcharges.csv,206,https://images.pricetransparency.healthcare/public-mrfs/banner/901074557_banner-university-medical-center-tucson_standardcharges.csv,mrf-header-name-without-location,,Banner University Medical Center Tucson,Banner University Medical Center Tucson|Banner University Medical Center Tucson Campus Cancer Center|Banner University Medical Center Tucson University of Arizona Cancer Center,AZ,2026-03-02,3.0.0,date-within-365-days-version-3,2026-09-09T10:06:57.437Z,8c055297b0d82603af0d40cb85d5fce1c2c019f2c354e4f527d020dc932a231f,113c8e63c15040b4488de7c400f3206b59aed85f6260eed07a6ae8e7395eb9ad,,
030108,THE CORE INSTITUTE SPECIALTY HOSP,AZ,metadata-or-pointer-review,unresolved,,"Compare the parsed header against facility aliases, renames and campus entries; extend the capped read only if metadata may sit beyond it",,,,,https://thecoreinstitutehospital.com/wp-content/uploads/2026/09/2026-THE-CORE-INSTITUTE-SPECIALTY-HOSPITAL-MRF-INPATIENT.csv,206,https://thecoreinstitutehospital.com/wp-content/uploads/2026/09/2026-THE-CORE-INSTITUTE-SPECIALTY-HOSPITAL-MRF-INPATIENT.csv,corroborated,file-name-and-address,The CORE Institute Specialty Hospital,The CORE Institute Specialty Hospital,AZ,2026-04-27,3.0.0,date-within-365-days-version-3,2026-09-09T10:06:55.324Z,,569a9daef726af3173aeaed6570555d98cf99215c2a8e41cb383a0ee9f57e8ce,,
030130,BANNER IRONWOOD MEDICAL CENTER,AZ,pointer-or-domain-review,correction-verified,,Applied to the local reviewed ledger,https://www.bannerhealth.com/cms-hpt.txt,206,2026-09-09T10:06:55.794Z,https://images.pricetransparency.healthcare/public-mrfs/banner/900412842_banner-ironwood-medical-center_standardcharges.csv,https://images.pricetransparency.healthcare/public-mrfs/banner/900412842_banner-ironwood-medical-center_standardcharges.csv,206,https://images.pricetransparency.healthcare/public-mrfs/banner/900412842_banner-ironwood-medical-center_standardcharges.csv,corroborated,file-name-and-address,Banner Ironwood Medical Center,Banner Ironwood Medical Center,AZ,2026-03-02,3.0.0,date-within-365-days-version-3,2026-09-09T10:06:58.908Z,8c055297b0d82603af0d40cb85d5fce1c2c019f2c354e4f527d020dc932a231f,6b7d11c1fcec8858b5b999e59d3a33728877388086a016e551a99aba83a44928,,Correction verified and already recorded in the reviewed ledger.
030138,CITY OF HOPE CANCER CENTER PHOENIX,AZ,pointer-or-domain-review,unresolved,,Official-domain discovery: confirm the roster facility controls a domain exposing cms-hpt.txt before assigning it,https://cityofhope.org/cms-hpt.txt,"curl: (28) Resolving timed out after 8005 milliseconds
",2026-09-09T11:36:29.609Z,,,,,,,,,,,,,,,,,
030153,EAST VALLEY ER & HOSPITAL,AZ,publisher-template-review,publisher-issue,template-version-older-than-3,Publisher inquiry about the declared template version; recheck after their update window,https://eastvalleyhospital.com/cms-hpt.txt,200,2026-09-09T10:06:55.732Z,,https://eastvalleyhospital.com/wp-content/uploads/2025/10/862195601-1881352037_east-valley-hospital-llc_standardcharges-3in.csv,200,https://eastvalleyhospital.com/wp-content/uploads/2025/10/862195601-1881352037_east-valley-hospital-llc_standardcharges-3in.csv,corroborated,file-name-and-address,East Valley ER & Hospital,East Valley ER & Hospital,AZ,2025-10-10,2.1.0,date-within-365-days-older-version,2026-09-09T10:06:56.682Z,e746d2f89bf9d6598765309d71e0f364049f2f11a7be9fdd28e4f196c15e5b06,a085dc21f1573aaadb0fa81249b7b6b6b5d0561be43d4d126f30ee6d209d5c61,,Declared version 2.1.0 with a current date; publisher has not adopted the current CMS dictionary.
031309,SAGE MEMORIAL HOSPITAL,AZ,pointer-or-domain-review,unresolved,,Official-domain discovery: confirm the roster facility controls a domain exposing cms-hpt.txt before assigning it,https://sagememorial.com/cms-hpt.txt,"curl: (28) Resolving timed out after 8002 milliseconds
",2026-09-09T11:40:37.310Z,,,,,,,,,,,,,,,,,
031313,HOLY CROSS HOSPITAL,AZ,identity-or-format-review,unresolved,,"Compare the parsed header against facility aliases, renames and campus entries; extend the capped read only if metadata may sit beyond it",https://www.holycrosshealth.org/sites/default/files/price-transparency/cms-hpt.txt,200,2026-09-09T10:06:56.989Z,,https://hpt.trinity-health.org/520738041-1669417838_holy-cross-hospital-silver-spring_standardcharges.zip,206,https://hpt.trinity-health.org/520738041-1669417838_holy-cross-hospital-silver-spring_standardcharges.zip,mrf-header-does-not-match-unresolved-roster,,Holy Cross Hospital-Silver Spring,Holy Cross Hospital-Silver Spring,MD,2026-03-31,3.0.0,date-within-365-days-version-3,2026-09-09T10:06:57.474Z,456139419b94ac121b00387e2cf6c71751d44bfd78dbec6815fbecce8c9b01c3,ae48f3afc78d2f1725c495ea869e0498406d84567d5931a8d106b4209dd8da91,,
034013,COLLEGE MEDICAL CENTER PHOENIX,AZ,publisher-template-review,publisher-issue,template-version-older-than-3,Publisher inquiry about the declared template version; recheck after their update window,https://cmcphoenix.com/cms-hpt.txt,200,2026-09-09T10:06:56.981Z,,https://cmcphoenix.com/331313844_college-medical-center-phoenix_standardcharges-3/,200,https://cmcphoenix.com/wp-content/uploads/2026/05/331313844_college-medical-center-phoenix_standardcharges.csv,corroborated,file-name-and-address,College Medical Center - Phoenix,College Medical Center - Phoenix,AZ,2026-03-11,1,date-within-365-days-older-version,2026-09-09T10:07:02.760Z,272b2e24d4cc770242ad25d12b0b735445512cc5e38bd2e96910db6fe2b7e23e,a7e897b12389d7a3cc0381ed42fa1584b88a35961ddb382c0c2eb2386dd5d616,,Declared version 1 with a current date; publisher has not adopted the current CMS dictionary.
034023,THE GUIDANCE CENTER,AZ,pointer-or-domain-review,unresolved,,Official-domain discovery: confirm the roster facility controls a domain exposing cms-hpt.txt before assigning it,https://tgcaz.org/cms-hpt.txt,206,2026-09-09T11:40:31.928Z,,,,,,,,,,,,,,,,,
